Jun 11 08:44:24 10.89.0.114 <187>35: ESW11: *Mar  1 00:00:07.135: %LINK-3-UPDOWN: Interface FastEthernet1/14, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>53: ESW13: *Mar  1 00:00:07.739: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/10, changed state to down
Jun 11 08:44:24 10.89.0.114 <187>36: ESW11: *Mar  1 00:00:07.139: %LINK-3-UPDOWN: Interface FastEthernet1/13, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>54: ESW13: *Mar  1 00:00:07.739: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/9, changed state to down
Jun 11 08:44:24 10.89.0.114 <187>37: ESW11: *Mar  1 00:00:07.139: %LINK-3-UPDOWN: Interface FastEthernet1/12, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>55: ESW13: *Mar  1 00:00:07.743: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/8, changed state to down
Jun 11 08:44:24 10.89.0.114 <187>38: ESW11: *Mar  1 00:00:07.143: %LINK-3-UPDOWN: Interface FastEthernet1/11, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>56: ESW13: *Mar  1 00:00:07.743: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/7, changed state to down
Jun 11 08:44:24 10.89.0.114 <187>39: ESW11: *Mar  1 00:00:07.143: %LINK-3-UPDOWN: Interface FastEthernet1/10, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>57: ESW13: *Mar  1 00:00:07.743: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/6, changed state to down
Jun 11 08:44:24 10.89.0.114 <187>40: ESW11: *Mar  1 00:00:07.147: %LINK-3-UPDOWN: Interface FastEthernet1/9, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>58: ESW13: *Mar  1 00:00:07.747: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/5, changed state to down
Jun 11 08:44:24 10.89.0.114 <187>41: ESW11: *Mar  1 00:00:07.147: %LINK-3-UPDOWN: Interface FastEthernet1/8, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>59: ESW13: *Mar  1 00:00:07.747: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/4, changed state to down
Jun 11 08:44:24 10.89.0.114 <187>42: ESW11: *Mar  1 00:00:07.151: %LINK-3-UPDOWN: Interface FastEthernet1/7, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>60: ESW13: *Mar  1 00:00:07.751: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/3, changed state to down
Jun 11 08:44:24 10.89.0.114 <187>43: ESW11: *Mar  1 00:00:07.151: %LINK-3-UPDOWN: Interface FastEthernet1/6, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>61: ESW13: *Mar  1 00:00:07.751: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/2, changed state to up
Jun 11 08:44:24 10.89.0.114 <187>44: ESW11: *Mar  1 00:00:07.155: %LINK-3-UPDOWN: Interface FastEthernet1/5, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>62: ESW13: *Mar  1 00:00:07.755: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/1, changed state to up
Jun 11 08:44:24 10.89.0.114 <187>45: ESW11: *Mar  1 00:00:07.155: %LINK-3-UPDOWN: Interface FastEthernet1/4, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>63: ESW13: *Mar  1 00:00:07.839: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/0, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>48: ESW11: *Mar  1 00:00:08.131: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/15, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>49: ESW11: *Mar  1 00:00:08.139: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/14, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>50: ESW11: *Mar  1 00:00:08.143: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/13, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>51: ESW11: *Mar  1 00:00:08.143: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/12, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>52: ESW11: *Mar  1 00:00:08.147: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/11, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>53: ESW11: *Mar  1 00:00:08.147: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/10, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>54: ESW11: *Mar  1 00:00:08.151: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/9, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>55: ESW11: *Mar  1 00:00:08.151: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/8, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>56: ESW11: *Mar  1 00:00:08.155: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/7, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>57: ESW11: *Mar  1 00:00:08.155: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/6, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>58: ESW11: *Mar  1 00:00:08.159: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/5, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>59: ESW11: *Mar  1 00:00:08.159: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/4, changed state to down
Jun 11 08:44:25 10.89.0.114 <189>60: ESW11: *Mar  1 00:00:08.163: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/3, changed state to down
Jun 11 08:44:25 10.89.0.114 <189>61: ESW11: *Mar  1 00:00:08.163: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/2, changed state to up
Jun 11 08:44:25 10.89.0.114 <189>62: ESW11: *Mar  1 00:00:08.167: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/1, changed state to up
Jun 11 08:44:25 10.89.0.114 <189>63: ESW11: *Mar  1 00:00:08.251: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/0, changed state to up
Jun 11 08:44:25 10.89.0.114 <187>5: *Mar  1 05:30:04: %LINK-3-UPDOWN: Interface FastEthernet1/4, changed state to down
Jun 11 08:44:25 10.89.0.114 <187>6: *Mar  1 05:30:04: %LINK-3-UPDOWN: Interface FastEthernet1/5, changed state to down
Jun 11 08:44:25 10.89.0.114 <187>7: *Mar  1 05:30:04: %LINK-3-UPDOWN: Interface FastEthernet1/6, changed state to down
Jun 11 08:44:25 10.89.0.114 <187>8: *Mar  1 05:30:04: %LINK-3-UPDOWN: Interface FastEthernet1/7, changed state to down
Jun 11 08:44:25 10.89.0.114 <187>9: *Mar  1 05:30:04: %LINK-3-UPDOWN: Interface FastEthernet1/8, changed state to down
Jun 11 08:44:25 10.89.0.114 <187>10: *Mar  1 05:30:04: %LINK-3-UPDOWN: Interface FastEthernet1/9, changed state to down
Jun 11 08:44:25 10.89.0.114 <187>11: *Mar  1 05:30:04: %LINK-3-UPDOWN: Interface FastEthernet1/10, changed state to down
Jun 11 08:44:25 10.89.0.114 <187>12: *Mar  1 05:30:04: %LINK-3-UPDOWN: Interface FastEthernet1/11, changed state to down
Jun 11 08:44:25 10.89.0.114 <187>13: *Mar  1 05:30:04: %LINK-3-UPDOWN: Interface FastEthernet1/12, changed state to down
Jun 11 08:44:25 10.89.0.114 <187>14: *Mar  1 05:30:04: %LINK-3-UPDOWN: Interface FastEthernet1/13, changed state to down
Jun 11 08:44:25 10.89.0.114 <187>15: *Mar  1 05:30:04: %LINK-3-UPDOWN: Interface FastEthernet1/14, changed state to down
Jun 11 08:44:25 10.89.0.114 <187>16: *Mar  1 05:30:04: %LINK-3-UPDOWN: Interface FastEthernet1/15, changed state to down
Jun 11 08:44:25 10.89.0.114 <189>17: *Mar  1 05:30:05: %LINK-5-CHANGED: Interface FastEthernet0/0, changed state to administratively down
Jun 11 08:44:25 10.89.0.114 <189>18: *Mar  1 05:30:05: %LINK-5-CHANGED: Interface FastEthernet0/1, changed state to administratively down
Jun 11 08:44:25 10.89.0.114 <189>19: *Mar  1 05:30:05: %SYS-5-CONFIG_I: Configured from memory by console
Jun 11 08:44:25 10.89.0.114 <189>20: *Mar  1 05:30:05: %SYS-5-RESTART: System restarted --
Jun 11 08:44:25 10.89.0.114 <189>21: Cisco IOS Software, 2600 Software (C2691-ENTSERVICESK9-M), Version 12.4(13b), RELEASE SOFTWARE (fc3)
Jun 11 08:44:25 10.89.0.114 <189>22: Technical Support: http://www.cisco.com/techsupport
Jun 11 08:44:25 10.89.0.114 <189>23: Copyright (c) 1986-2007 by Cisco Systems, Inc.
Jun 11 08:44:25 10.89.0.114 <189>24: Compiled Tue 24-Apr-07 15:33 by prod_rel_team
Jun 11 08:44:25 10.89.0.114 <189>25: *Mar  1 05:30:05: %SNMP-5-COLDSTART: SNMP agent on host ESW12 is undergoing a cold start
Jun 11 08:44:25 10.89.0.114 <189>26: *Mar  1 05:30:05: %PCMCIAFS-5-DIBERR: PCMCIA disk 0 is formatted from a different router or PC. A format in this router is required before an image can be booted from this device
Jun 11 08:44:25 10.89.0.114 <189>27: *Mar  1 05:30:05: %SSH-5-ENABLED: SSH 2.0 has been enabled
Jun 11 08:44:25 10.89.0.114 <189>28: *Mar  1 05:30:05: %DTP-5-TRUNKPORTON: Port Fa1/0-1 has become dot1q trunk
Jun 11 08:44:25 10.89.0.114 <189>29: *Mar  1 05:30:06: %LINK-5-CHANGED: Interface Loopback0, changed state to administratively down
Jun 11 08:44:25 10.89.0.114 <189>30: *Mar  1 05:30:06: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet0/0, changed state to down
Jun 11 08:44:25 10.89.0.114 <189>31: *Mar  1 05:30:06: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet0/1, changed state to down
Jun 11 08:44:25 10.89.0.114 <189>32: *Mar  1 05:30:06: %LINK-5-CHANGED: Interface Vlan1, changed state to administratively down
Jun 11 08:44:25 10.89.0.114 <189>33: *Mar  1 05:30:06: %LINEPROTO-5-UPDOWN: Line protocol on Interface Vlan99, changed state to up
Jun 11 08:44:25 10.89.0.114 <189>34: *Mar  1 05:30:07: %LINEPROTO-5-UPDOWN: Line protocol on Interface Vlan1, changed state to down
Jun 11 08:44:25 10.89.0.114 <187>35: *Mar  1 05:30:07: %LINK-3-UPDOWN: Interface FastEthernet1/15, changed state to up
Jun 11 08:44:25 10.89.0.114 <187>36: *Mar  1 05:30:07: %LINK-3-UPDOWN: Interface FastEthernet1/14, changed state to up
Jun 11 08:44:25 10.89.0.114 <187>37: *Mar  1 05:30:07: %LINK-3-UPDOWN: Interface FastEthernet1/13, changed state to up
Jun 11 08:44:25 10.89.0.114 <187>38: *Mar  1 05:30:07: %LINK-3-UPDOWN: Interface FastEthernet1/12, changed state to up
Jun 11 08:44:25 10.89.0.114 <187>39: *Mar  1 05:30:07: %LINK-3-UPDOWN: Interface FastEthernet1/11, changed state to up
Jun 11 08:44:25 10.89.0.114 <187>40: *Mar  1 05:30:07: %LINK-3-UPDOWN: Interface FastEthernet1/10, changed state to up
Jun 11 08:44:25 10.89.0.114 <187>41: *Mar  1 05:30:07: %LINK-3-UPDOWN: Interface FastEthernet1/9, changed state to up
Jun 11 08:44:25 10.89.0.114 <187>42: *Mar  1 05:30:07: %LINK-3-UPDOWN: Interface FastEthernet1/8, changed state to up
Jun 11 08:44:25 10.89.0.114 <187>43: *Mar  1 05:30:07: %LINK-3-UPDOWN: Interface FastEthernet1/7, changed state to up
Jun 11 08:44:25 10.89.0.114 <187>44: *Mar  1 05:30:07: %LINK-3-UPDOWN: Interface FastEthernet1/6, changed state to up
Jun 11 08:44:25 10.89.0.114 <187>45: *Mar  1 05:30:07: %LINK-3-UPDOWN: Interface FastEthernet1/5, changed state to up
Jun 11 08:44:25 10.89.0.114 <187>46: *Mar  1 05:30:07: %LINK-3-UPDOWN: Interface FastEthernet1/4, changed state to up
Jun 11 08:44:25 10.89.0.114 <187>47: *Mar  1 05:30:07: %LINK-3-UPDOWN: Interface FastEthernet1/3, changed state to up
Jun 11 08:44:25 10.89.0.114 <189>48: *Mar  1 05:30:08: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/15, changed state to down
Jun 11 08:44:25 10.89.0.114 <189>49: *Mar  1 05:30:08: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/14, changed state to down
Jun 11 08:44:25 10.89.0.114 <189>50: *Mar  1 05:30:08: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/13, changed state to down
Jun 11 08:44:25 10.89.0.114 <189>51: *Mar  1 05:30:08: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/12, changed state to down
Jun 11 08:44:25 10.89.0.114 <189>52: *Mar  1 05:30:08: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/11, changed state to down
Jun 11 08:44:25 10.89.0.114 <189>53: *Mar  1 05:30:08: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/10, changed state to down
Jun 11 08:44:25 10.89.0.114 <189>54: *Mar  1 05:30:08: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/9, changed state to down
